,box_x,box_y,size_a,size_b,size_c,diffhand_loss,diffhand_flip,diffhand_t,model_loss,model_flip,model_t
38,4.577,-4.825,6.396,6.636,4.436,3867.3263307340276,74.15845943904262,39.567,3813.8675248206177,74.15452843959409,16.113
39,-12.882,-2.187,4.023,6.717,6.271,2974.3559420422644,21.478157110093054,47.732,3922.919600935983,48.57699842590728,20.866
40,17.334,2.434,8.322,3.139,7.387,3916.4308830921286,74.13737596781559,29.228,3841.954178324445,74.21197983045717,10.131
41,-18.27,-2.901,3.669,5.339,7.663,6174.4439640619785,25.710165757916247,6.439,4001.4025095933403,24.810840447777114,56.554
42,-5.197,4.859,4.899,5.378,6.937,1875.026729178845,14.984638911595273,34.779,1685.9241775881014,19.395988227161308,20.451
43,18.488,-3.63,4.207,8.216,6.808,3950.998492718471,74.3489098169924,17.861,809.5050968836495,12.762015142693544,15.652
44,-13.194,-2.875,3.272,3.658,7.477,3809.6579490397958,24.864638179711076,18.126,2648.896538313922,17.320581389537207,9.038
45,-23.513,1.499,8.676,8.004,8.627,7101.940501734291,71.6115222487195,13.793,6850.591506064657,74.22224139061821,48.558
46,-4.329,0.506,2.716,2.763,8.245,1578.0671050626793,12.843915785206374,60.186,1256.389189068604,13.629770838136997,16.234
47,4.139,-2.077,4.387,8.54,2.91,942.4410455546885,13.815459613787443,26.571,3795.4416518994326,73.77554215875264,31.39
48,12.745,4.333,7.578,6.472,5.613,3946.178325052116,74.28831310436918,27.262,4192.615571751944,74.19224727182902,37.184
49,-9.384,2.457,7.256,8.065,2.062,4532.989802786049,73.49995300834011,23.572,4257.4416772685,74.0618170748715,12.922
50,11.177,3.127,3.973,2.659,8.102,955.8750440359578,12.401708141279036,29.234,1281.235177629404,13.728520741453664,22.565
51,-12.79,3.809,8.51,6.505,8.411,5350.660152086012,73.37528530189039,10.673,4649.468107162611,73.61988193551446,37.263
52,2.579,1.553,3.811,3.235,5.751,920.1472649661674,10.363370919593365,24.785,869.8081545269112,13.303252386087017,56.841
53,-7.343,-0.864,7.756,8.876,4.265,2604.946226941947,24.154251300803033,29.421,4134.583528140959,73.56468403786468,20.6
54,-13.729,2.635,3.921,5.889,5.803,3615.1357933594018,20.273689176673,18.949,2206.3294186454077,16.635738631072822,16.447
55,15.587,-0.89,4.489,3.23,8.869,1148.482917620622,18.58501914838632,42.242,389.1066148248654,6.056549285982313,37.937
56,15.214,-1.767,4.845,8.378,3.178,3426.368637469845,66.13792819570787,17.577,3778.9138915251797,73.78541472518282,9.783
57,3.178,2.872,4.235,6.927,8.714,828.6869170233655,10.887039941214832,48.37,985.304299355187,12.52059353156292,34.277
